_from,_to,relType,sourceType,targetType
e_skills/cdeaaa29-adcd-4b4e-ac42-5de5d929c36f,e_skills/6a83f888-902d-420d-b391-254ffd73b17b,optional,knowledge,knowledge
e_skills/cdeaaa29-adcd-4b4e-ac42-5de5d929c36f,e_skills/fe48b149-61d1-4d65-b756-b8f558bb0b7b,optional,knowledge,knowledge
e_skills/cdeaaa29-adcd-4b4e-ac42-5de5d929c36f,e_skills/86f417e4-aab4-4e31-9b52-6d09f7fe2ea3,optional,knowledge,knowledge
e_skills/5cc10709-a2fd-4d6f-86a7-59e08c172251,e_skills/30e9ec7e-b943-48c3-b7fb-d605491397c1,optional,knowledge,knowledge
e_skills/a75fa645-0892-4ba6-835a-8ae49812eef1,e_skills/eba80be9-2960-42e9-b36c-b5adedad3747,optional,knowledge,knowledge
e_skills/a75fa645-0892-4ba6-835a-8ae49812eef1,e_skills/8054565b-b93e-4bdb-9619-ea41b393940a,optional,knowledge,knowledge
e_skills/a75fa645-0892-4ba6-835a-8ae49812eef1,e_skills/fe48b149-61d1-4d65-b756-b8f558bb0b7b,optional,knowledge,knowledge
e_skills/35be1659-7295-4d6b-b9c9-c00f12e74056,e_skills/92bbc1f1-2d32-42ec-98f0-e1ac27722ada,optional,knowledge,knowledge
e_skills/47f0e452-5a60-4c19-bd53-70ceb902694f,e_skills/7e881b3b-9903-439c-b43f-d309c4419d23,optional,knowledge,knowledge
e_skills/e937bc94-5b88-48a4-9722-c26f0f6e6d55,e_skills/c35edc8a-de25-4683-88d3-f77433818b64,optional,knowledge,knowledge
e_skills/e937bc94-5b88-48a4-9722-c26f0f6e6d55,e_skills/8a159872-ee49-47a1-a794-15eca86cfe45,optional,knowledge,knowledge
e_skills/067c3c24-272f-43f0-91d2-80527a84a800,e_skills/c1ff52db-320b-4141-a2d9-da6c92c18274,optional,knowledge,knowledge
e_skills/01c8f518-6340-44c6-a1cc-0cf2a8bad2e2,e_skills/6a1ce7eb-c7db-4302-bc0b-f92a7bd85c97,optional,knowledge,knowledge
e_skills/85518476-eff1-4b13-b164-60540e91e45d,e_skills/6bb1619d-1267-4fae-9cfb-be67b52b8edc,optional,knowledge,knowledge
e_skills/e743c901-743a-4012-b46a-4e38c84238b3,e_skills/f5d8925a-2100-4b46-8dbc-9c0401de88cb,optional,knowledge,knowledge
e_skills/0ce6ad6f-5c07-4611-96bb-f4699f5b650a,e_skills/6a0173a7-c9a9-4d4a-8ed1-f374af9e24c2,optional,knowledge,knowledge
e_skills/76fd4137-7e5b-453b-a4ec-e55f1215488e,e_skills/51958f6e-64f3-4824-a247-59d6abe11f46,optional,knowledge,knowledge
e_skills/177e2f03-0d67-4a21-8aa1-a0e09534b0f9,e_skills/abbfa8b4-dd9d-430f-833b-59426a8a9650,optional,knowledge,knowledge
e_skills/28cfac9e-adc0-4786-a92c-64fe618546f9,e_skills/6b931df6-338b-4010-b31c-8772fc8ce6eb,optional,knowledge,knowledge
e_skills/28cfac9e-adc0-4786-a92c-64fe618546f9,e_skills/1506b224-8195-4b56-8cc5-6a23f562ec09,optional,knowledge,knowledge
e_skills/28cfac9e-adc0-4786-a92c-64fe618546f9,e_skills/c885a26e-371e-4bed-a17d-ff34ffcf8a62,optional,knowledge,knowledge
e_skills/bbd6f62a-9c94-48a7-8eba-d87b4ec84d11,e_skills/f19c48ac-91ea-4f87-86cd-e7df8ead17a4,optional,knowledge,knowledge
e_skills/70e0b3cf-a08c-4416-a299-257a3f399214,e_skills/226e35d2-46de-47a2-a129-7669327e398c,optional,knowledge,knowledge
e_skills/70e0b3cf-a08c-4416-a299-257a3f399214,e_skills/baf69b47-d201-400a-8fce-d4479f02f49f,optional,knowledge,knowledge
e_skills/70e0b3cf-a08c-4416-a299-257a3f399214,e_skills/eee6c988-3b43-48f7-9f8a-4eb6871ceed5,optional,knowledge,knowledge
e_skills/0dd1fc45-d3a3-4670-b3ac-0409dab8ac22,e_skills/18b662bc-2e34-423f-b329-d042ddae7242,optional,knowledge,knowledge
e_skills/0dd1fc45-d3a3-4670-b3ac-0409dab8ac22,e_skills/83d415d7-0b61-437e-844d-61bb7580d921,optional,knowledge,knowledge
e_skills/887cd523-449f-40e0-b97c-ef767225def7,e_skills/22f172db-33ad-4a85-b59b-750d9710533e,optional,knowledge,knowledge
e_skills/887cd523-449f-40e0-b97c-ef767225def7,e_skills/99bce5b6-2d8a-4651-8498-060f3d40785f,optional,knowledge,knowledge
e_skills/9e954d3d-2e01-4b01-9762-76d300ad63c1,e_skills/fce10c7b-a658-461f-96f7-7e3cfd78984e,optional,knowledge,knowledge
e_skills/0aa5f38c-f20d-4b42-b737-7399878113f1,e_skills/44758132-880f-49b4-bd9b-eb0b0332a0dd,optional,knowledge,knowledge
e_skills/381214a5-c7c5-4ebd-b24d-3d47a92f878a,e_skills/18a431bf-93bd-4d18-8a12-d81b556cdf9e,optional,knowledge,knowledge
e_skills/5544e343-6d20-4fb0-8bac-37907f3ffeff,e_skills/2a59f58d-fdce-4e35-a9aa-9de3b1e728fd,optional,knowledge,knowledge
e_skills/18fc8f00-dc9f-410c-a5db-54c92d45aa81,e_skills/0804b946-7300-4158-a75c-65e1b95cf63c,optional,knowledge,knowledge
e_skills/e932545a-4ac2-4dcf-b0fc-3b7be61584db,e_skills/1d4b3220-615f-4dd1-af3e-ee29e776f996,optional,knowledge,knowledge
e_skills/221ffe9b-2078-4cc5-a631-5f16872f2eae,e_skills/7f11aa10-49a4-445f-a05f-3f22f01bb5e2,optional,knowledge,knowledge
e_skills/221ffe9b-2078-4cc5-a631-5f16872f2eae,e_skills/3c8859ae-5f25-4741-bdbd-4786c2653b8d,optional,knowledge,knowledge
e_skills/221ffe9b-2078-4cc5-a631-5f16872f2eae,e_skills/09899692-321b-4ad8-a122-8a17b2d01eb1,optional,knowledge,knowledge
e_skills/221ffe9b-2078-4cc5-a631-5f16872f2eae,e_skills/f49bc08e-b562-4fd8-b2d6-ccdfc5df8733,optional,knowledge,knowledge
e_skills/c9ef402c-74e7-43c6-8c02-0530c02c817b,e_skills/81547712-b913-4c13-a294-0e36f03e87d8,optional,knowledge,knowledge
e_skills/a97d0164-3bbb-42e3-b472-a9b54424c8b8,e_skills/8a3fc4e8-c9a0-472c-8057-bd50690068b1,optional,knowledge,knowledge
e_skills/d80176bd-88f9-4ebe-8eb5-49a265481601,e_skills/61edcbf1-0a95-42ce-90cd-3d68c0b8e733,optional,knowledge,knowledge
e_skills/4c94cc74-0ec2-479c-9735-f5bacda52ba8,e_skills/065fa3d1-8dde-44ab-aeb2-665a3f123bb1,optional,knowledge,knowledge
e_skills/16a9cf06-39a2-43b9-b04c-748ffaf959f4,e_skills/7213acbb-24c0-4ea0-addd-be5ef510c5e9,optional,knowledge,knowledge
e_skills/16a9cf06-39a2-43b9-b04c-748ffaf959f4,e_skills/bc4ee782-9008-4d32-bfd2-c4d765f105aa,optional,knowledge,knowledge
e_skills/ad860ae7-c71e-4125-b46c-18b825cd666d,e_skills/dabc9cd5-92e2-4d77-9cb7-ea3854258261,optional,knowledge,knowledge
e_skills/8d35e864-d3a0-424b-863b-8505ee3c16b6,e_skills/5c9afd03-5979-4d83-ab29-18214721ae93,optional,knowledge,knowledge
e_skills/26f46017-db31-4a7e-b047-aae69d075d9f,e_skills/7f11aa10-49a4-445f-a05f-3f22f01bb5e2,optional,knowledge,knowledge
e_skills/26f46017-db31-4a7e-b047-aae69d075d9f,e_skills/3c8859ae-5f25-4741-bdbd-4786c2653b8d,optional,knowledge,knowledge
e_skills/26f46017-db31-4a7e-b047-aae69d075d9f,e_skills/09899692-321b-4ad8-a122-8a17b2d01eb1,optional,knowledge,knowledge
e_skills/26f46017-db31-4a7e-b047-aae69d075d9f,e_skills/d83f3297-f218-459d-8c5c-4ac6d575e824,optional,knowledge,knowledge
e_skills/26f46017-db31-4a7e-b047-aae69d075d9f,e_skills/f49bc08e-b562-4fd8-b2d6-ccdfc5df8733,optional,knowledge,knowledge
e_skills/c1b43789-f80d-4f24-9a96-68609fba5815,e_skills/d024416e-4c0b-4252-9fbf-75655a343727,optional,knowledge,knowledge
e_skills/75d652a6-306d-4136-99c0-418da4787c6a,e_skills/29d255a7-771c-4253-a4a6-020be08c3a5a,optional,knowledge,knowledge
e_skills/38bbaf05-3ca7-4ca9-a414-28a87ed84e1b,e_skills/05ad14fa-8a29-44d5-950a-585ce6d8e721,optional,knowledge,knowledge
e_skills/c3baae91-e3c1-48a3-bb05-87a5a127917b,e_skills/d0f7c720-f3eb-4b86-aafe-b70cf8cf4cfe,optional,knowledge,knowledge
e_skills/c3baae91-e3c1-48a3-bb05-87a5a127917b,e_skills/60c72425-1a31-424f-9af2-a5e6b1a5cd8c,optional,knowledge,knowledge
e_skills/1c95e209-1462-4483-b403-20f36f343367,e_skills/aed066b5-1784-465e-b8bb-a0c36bc164c1,optional,knowledge,knowledge
e_skills/1c95e209-1462-4483-b403-20f36f343367,e_skills/b6339f29-3117-48c4-950a-b3fcb27f643b,optional,knowledge,knowledge
e_skills/24d5ab14-b3e4-4c9c-b076-9f0e2db584fc,e_skills/d5686520-9c42-4a36-887b-71068b48840c,optional,knowledge,knowledge
e_skills/7bc7920c-55b9-43d9-9ff6-2d3d74dc3502,e_skills/bbac741c-578a-48d0-bafb-be7ba2895f1c,optional,knowledge,knowledge
e_skills/2a1e4c22-0173-4716-963d-41d33af0989b,e_skills/768e5967-f9ed-446c-b835-90a3ccb2f321,optional,knowledge,knowledge
e_skills/b3400572-587e-4f59-980a-1c5a60ac865d,e_skills/ce9b92c9-a518-4ef1-93aa-6ce79af984eb,optional,knowledge,knowledge
e_skills/b3400572-587e-4f59-980a-1c5a60ac865d,e_skills/ce8c0513-2e1f-4f15-bdfa-3e416b6b698c,optional,knowledge,knowledge
e_skills/b3400572-587e-4f59-980a-1c5a60ac865d,e_skills/aebbac87-666e-411b-9850-f11806196408,optional,knowledge,knowledge
e_skills/eaaaaef2-d7f9-4b27-82ab-b9398557cb9b,e_skills/9a4f9290-eb9e-49c4-8ed3-a751727964b2,optional,knowledge,knowledge
e_skills/3ce353f8-9512-4e57-b0e3-6cf6d8a6229c,e_skills/e095d170-4af4-4dfd-9416-f3506cb82369,optional,knowledge,knowledge
e_skills/7e8e0157-485f-45e2-9522-803d39417cfb,e_skills/c7bc1c40-16df-49d1-a77b-6b5474011cf0,optional,knowledge,knowledge
e_skills/91a95d07-6817-40c8-b950-fd8c4ebd6ba9,e_skills/bb1e50b6-2dac-4d48-8e7a-c4ec2eb288ca,optional,knowledge,knowledge
e_skills/91a95d07-6817-40c8-b950-fd8c4ebd6ba9,e_skills/cea0aed3-2a33-42b1-b9b3-e402ee8969c1,optional,knowledge,knowledge
e_skills/c733a69b-8aeb-4aca-90cc-835752295f8f,e_skills/1bb5b6bd-c69d-4b8d-8265-3b5b3f05e3a8,optional,knowledge,knowledge
e_skills/4dbd48f1-bba2-442f-adfe-fb0004981d5b,e_skills/ae7979ff-4695-4f76-9fb0-295c8f6c040c,optional,knowledge,knowledge
e_skills/4dbd48f1-bba2-442f-adfe-fb0004981d5b,e_skills/a5ab033d-0026-4de5-bc18-7c5023298159,optional,knowledge,knowledge
e_skills/2ed24b36-5e89-4f5f-a24c-15470f60b11e,e_skills/aaa2fba5-0c54-4c6b-bced-150908b2cc6e,optional,knowledge,knowledge
e_skills/18fd1188-d836-491c-aab3-5575adfb305e,e_skills/d3d03e2b-1e8d-4df6-819f-ba2463b5a25c,optional,knowledge,knowledge
e_skills/18fd1188-d836-491c-aab3-5575adfb305e,e_skills/a0657c11-e2af-4619-9ca3-8864a0c70394,optional,knowledge,knowledge
e_skills/18fd1188-d836-491c-aab3-5575adfb305e,e_skills/385ce387-456e-4878-8715-903281765d53,optional,knowledge,knowledge
e_skills/e3bfd7a3-5f7d-4b97-882d-fddd7141a9d3,e_skills/3d4ed451-ae49-40d4-80c7-de1cf96a4f4b,optional,knowledge,knowledge
e_skills/e3bfd7a3-5f7d-4b97-882d-fddd7141a9d3,e_skills/8620f4b3-dcda-4e84-917c-93c519ac4515,optional,knowledge,knowledge
e_skills/39dd37b0-8ab7-44b0-994c-4ff8de890869,e_skills/62bdde98-25fe-44ce-9a24-2e5e295da469,optional,knowledge,knowledge
e_skills/39dd37b0-8ab7-44b0-994c-4ff8de890869,e_skills/859bb776-f6ea-4e29-8bc8-de35f0e9ad03,optional,knowledge,knowledge
e_skills/4d678b5f-5324-49c5-b30c-edf3fc603d0b,e_skills/2118f203-0d0d-4aad-aefd-90b7844404a9,optional,knowledge,knowledge
e_skills/62753163-d9ad-4833-8d61-82b5a498b9c9,e_skills/83cf9e9e-21a3-4509-80a2-64faa52a1b82,optional,knowledge,knowledge
e_skills/0bcbda19-f02e-43b8-be56-7f3002abdd59,e_skills/a17dadc5-211b-4355-a211-68ff5af415e9,optional,knowledge,knowledge
e_skills/0bcbda19-f02e-43b8-be56-7f3002abdd59,e_skills/548b7ab2-2d11-491f-ab56-4b6645bdab57,optional,knowledge,knowledge
e_skills/df67ce32-6d7a-47b0-ac87-b59d4e41e062,e_skills/1ca19935-8c2a-482b-a82d-9775f70fc1ee,optional,knowledge,knowledge
e_skills/df67ce32-6d7a-47b0-ac87-b59d4e41e062,e_skills/c13c4aa0-14cf-410d-bc94-1030796046fa,optional,knowledge,knowledge
e_skills/a73ae6bd-2dc0-4b3d-9662-eeae4056580a,e_skills/2fe56166-4033-42c1-85e1-9baf4f415347,optional,knowledge,knowledge
e_skills/a73ae6bd-2dc0-4b3d-9662-eeae4056580a,e_skills/45f69bce-fe5c-443a-b49d-75fd11f4742d,optional,knowledge,knowledge
e_skills/7bfc7a3a-9bbf-4417-a07f-fd9388bd959a,e_skills/f1826ac7-178b-4563-b102-2557afdc6d58,optional,knowledge,knowledge
e_skills/7bfc7a3a-9bbf-4417-a07f-fd9388bd959a,e_skills/ee54b6c4-5a94-45bf-8aeb-680cf08cfbf3,optional,knowledge,knowledge
e_skills/30011adf-424a-47f3-b04a-a63d8cbc180e,e_skills/46a1b2ff-899f-46ab-a033-42721d7b4973,optional,knowledge,knowledge
e_skills/30011adf-424a-47f3-b04a-a63d8cbc180e,e_skills/9a57a1e9-00b4-435f-8f72-6f76ef3c7594,optional,knowledge,knowledge
e_skills/4aa221a0-5502-45a6-810b-cc2366e60733,e_skills/1b91ba67-380a-42fb-be33-e1ccafe9b8bb,optional,knowledge,knowledge
e_skills/8be62e9d-206c-4870-99f0-1a0db0613373,e_skills/b6fb126d-e1e5-425f-bf94-e900c3ed551e,optional,knowledge,knowledge
e_skills/0617b1b4-442d-4765-a35d-d529aee80501,e_skills/3558f423-fbcb-45c7-b3ce-fa20784a6249,essential,,
e_skills/0617b1b4-442d-4765-a35d-d529aee80501,e_skills/c2667920-393d-4833-b83c-a35096bfe1d8,optional,knowledge,knowledge
e_skills/0bc2fb92-c9d8-4e57-85ab-aeed4d50d67c,e_skills/c95f647b-31d0-4308-a134-d46e9d79d966,optional,knowledge,knowledge
e_skills/0bc2fb92-c9d8-4e57-85ab-aeed4d50d67c,e_skills/5b3b7723-3b98-4f47-a084-5fc88334fd85,optional,knowledge,knowledge
e_skills/5fe3319a-d3c6-4195-bc83-3ef888617f1d,e_skills/6913ee37-c34a-4f8e-bc1b-ff08c1efe630,optional,knowledge,knowledge
e_skills/bd20f7f2-4389-4226-9d95-4a86bd3b3bc9,e_skills/eadcd838-a9d2-480d-ae39-e11065435b6e,optional,knowledge,knowledge
e_skills/9d0a2d2e-bc8a-4479-92a4-59edaea04679,e_skills/5c64cd0b-db30-4131-915a-5e134305f757,optional,knowledge,knowledge
e_skills/9d0a2d2e-bc8a-4479-92a4-59edaea04679,e_skills/22346e93-0e03-406d-a9ce-33a2f1becc66,optional,knowledge,knowledge
e_skills/3ceebe68-7f14-4b6f-8da3-dd446a49001b,e_skills/7979417f-62d2-4231-855e-ccd1d8543c20,optional,knowledge,knowledge
e_skills/3ceebe68-7f14-4b6f-8da3-dd446a49001b,e_skills/11bf05b3-2d6e-47fc-9a99-2d07780e0e95,optional,knowledge,knowledge
e_skills/c0773a09-16fb-4cc4-b9fc-854b23741ed5,e_skills/d7fd9caa-c558-46f3-ad1e-a0e6c567f5e4,optional,knowledge,knowledge
e_skills/f2a36547-3e3f-49eb-ba68-808fb53cf33c,e_skills/c101e943-2cd9-4ac0-b479-ba8d7701c2c2,optional,knowledge,knowledge
e_skills/8806b290-c52f-4650-8f74-2169e0645d29,e_skills/fcb64169-e526-4d4d-a9e6-378620db7fd0,optional,knowledge,knowledge
e_skills/5055ef83-4f80-432e-8c0f-b14fe4d40491,e_skills/0bc439e1-6af9-487b-926d-b2a2752853a2,optional,knowledge,knowledge
e_skills/b9aae710-30cb-478f-9ebd-5698d3865992,e_skills/56a4db07-5a5c-4c35-a717-fdbe1e2494d7,optional,knowledge,knowledge
e_skills/b9aae710-30cb-478f-9ebd-5698d3865992,e_skills/b82fdbef-e780-4792-b587-58ca9335e789,optional,knowledge,knowledge
e_skills/b9aae710-30cb-478f-9ebd-5698d3865992,e_skills/0d52f40a-49ac-4737-8929-1ca5397c96a5,optional,knowledge,knowledge
e_skills/e35ab07a-f038-440c-bc77-fb1b86e7efc2,e_skills/9dbce442-b039-4d0a-8714-5341feb91d32,optional,knowledge,knowledge
e_skills/e35ab07a-f038-440c-bc77-fb1b86e7efc2,e_skills/3cc88284-62b9-4489-b0bf-012d59ba3bae,optional,knowledge,knowledge
e_skills/07dd1dde-3004-49a8-aa91-2493ad5a6ca8,e_skills/84d776b4-0608-4ece-b642-be71a9380df0,optional,knowledge,knowledge
e_skills/07dd1dde-3004-49a8-aa91-2493ad5a6ca8,e_skills/7d5a72b9-0640-49eb-ad34-ee9abd48c377,optional,knowledge,knowledge
e_skills/a7b58104-7ad9-429a-b046-88d7addbab76,e_skills/f13cb177-5282-482e-96bd-29cf82573338,optional,knowledge,knowledge
e_skills/a7b58104-7ad9-429a-b046-88d7addbab76,e_skills/b40f6c00-2143-4712-92a5-d2d747bad22b,optional,knowledge,knowledge
e_skills/814007c5-b45b-4bc6-8009-f4076117a647,e_skills/39489dad-7ae4-4356-87a2-2d41a56a4bef,optional,knowledge,knowledge
e_skills/7365fe3b-b2e6-4a58-82dd-9625f21a815f,e_skills/eb469025-b718-4395-a2a0-48cbd612bd2e,optional,knowledge,knowledge
e_skills/a904a12c-64d0-46ee-908e-4c303373d401,e_skills/0c860a12-491f-4cdb-816f-815d8ec41dc7,optional,knowledge,knowledge
e_skills/a904a12c-64d0-46ee-908e-4c303373d401,e_skills/7e408ee9-1cd8-4f98-a48b-6d841452c6a0,optional,knowledge,knowledge
e_skills/0d3b13cd-2382-48c0-ab7d-d9b96189d91d,e_skills/81094928-6e55-46d8-bb7f-d633f4fb5a7b,optional,knowledge,knowledge
e_skills/f0ae10cf-8fb6-48a5-ae71-7067d8cca777,e_skills/5a512767-9922-435f-bcc8-ec75cb5cebf3,optional,knowledge,knowledge
e_skills/f0ae10cf-8fb6-48a5-ae71-7067d8cca777,e_skills/c5cfb08b-491a-470b-90d7-9af0536c8197,optional,knowledge,knowledge
e_skills/e529edc3-a40e-4255-be54-34647893ac32,e_skills/184c7289-8578-4be2-b8bf-ff17a2de2e18,optional,knowledge,knowledge
e_skills/cc1d1335-a3d4-4f18-ba97-c03feba9b04e,e_skills/86f417e4-aab4-4e31-9b52-6d09f7fe2ea3,optional,knowledge,knowledge
e_skills/d7d2fa87-cf04-4129-a585-1e145fc9f7f4,e_skills/fdc8caa1-7d28-45a5-b4cb-6dd108869abc,optional,knowledge,knowledge
