_id,Scale ID,Element ID,O*NET-SOC Code
o_jobSkills/c5437b42-901e-4575-8f01-9bc8c65fdb30,,2.B.3.c,11-1011.03
o_jobSkills/e8a029a3-c693-40ef-97a9-70768a604fbe,,2.B.3.d,11-1011.03
o_jobSkills/d06b8a7e-a039-4c29-a398-0f6a60007668,,2.B.3.e,11-1011.03
o_jobSkills/0594adce-2f5f-466c-a1ea-879aa9d0bfab,,2.B.3.g,11-1011.03
o_jobSkills/c85159a8-1e1d-43a5-89f5-084c435358b5,,2.B.3.h,11-1011.03
o_jobSkills/4b5967ad-e388-4c53-a8cb-5d9d151584a5,,2.B.3.j,11-1011.03
o_jobSkills/7ffd2ff4-66e2-44c2-b557-9edf3fb3c9da,,2.B.3.k,11-1011.03
o_jobSkills/bda3cfba-2d40-4b2a-b84f-0e4a217cf966,,2.B.3.l,11-1011.03
o_jobSkills/cb8a8f13-cf6f-43e6-b075-c444275c98d9,,2.B.3.m,11-1011.03
o_jobSkills/ae94a57a-74e3-412d-8fc0-54608f27fd98,,2.B.4.e,11-1011.03
o_jobSkills/acccdeb6-2969-425a-8032-335cbd83e83f,,2.B.4.g,11-1011.03
o_jobSkills/6e032ff1-d548-4e64-85a8-998e380d3796,,2.B.4.h,11-1011.03
o_jobSkills/d93fc296-2a2d-42ea-9037-a22c423fd4b0,,2.B.5.a,11-1011.03
o_jobSkills/8f137484-11f6-4c19-be43-4ed0b1cca1bc,,2.B.5.b,11-1011.03
o_jobSkills/085aaa99-5748-40c8-9119-6809f3d2da87,,2.B.5.c,11-1011.03
o_jobSkills/445738c8-789d-4a56-9383-96a7a44ebab1,,2.B.5.d,11-1011.03
o_jobSkills/9934728b-4396-4ae6-a9f6-22244060eaa9,,2.A.1.a,11-1021.00
o_jobSkills/f3fede28-adea-409e-8c92-3948c05e80aa,,2.A.1.b,11-1021.00
o_jobSkills/d0ca0df8-22db-47d7-8ee3-a761f861e252,,2.A.1.c,11-1021.00
o_jobSkills/93157856-772b-4685-856e-9aed64125656,,2.A.1.d,11-1021.00
o_jobSkills/84fa48d6-4901-49ef-a3d4-f521ec17c832,,2.A.1.e,11-1021.00
o_jobSkills/421798e7-2bea-40b9-b052-af5a51ba93bd,,2.A.1.f,11-1021.00
o_jobSkills/86d0ba87-b739-4468-90fc-ce70eac5856c,,2.A.2.a,11-1021.00
o_jobSkills/45c83bcc-e98b-4d29-8998-9ef48c0d76f3,,2.A.2.b,11-1021.00
o_jobSkills/7a7d9d69-01d1-4550-b29b-2fc5bf56ce27,,2.A.2.c,11-1021.00
o_jobSkills/c644f129-3f53-4c0f-8167-d5d697de770a,,2.A.2.d,11-1021.00
o_jobSkills/756644f1-d918-4a65-8074-7db2642186c5,,2.B.1.a,11-1021.00
o_jobSkills/b784a39d-564e-470d-ae96-f428c68e0fd6,,2.B.1.b,11-1021.00
o_jobSkills/36e9f0d7-8175-4c10-815e-4c9919649172,,2.B.1.c,11-1021.00
o_jobSkills/fdce4c31-7c0e-433c-b3ee-364f2a0bf69d,,2.B.1.d,11-1021.00
o_jobSkills/069d3421-cebf-4195-8df9-c0efb99be7e9,,2.B.1.e,11-1021.00
o_jobSkills/0b23b363-f68a-4e9c-a962-879c6c66fbef,,2.B.1.f,11-1021.00
o_jobSkills/da12ed7d-9233-47b2-8c9d-5625235ebf04,,2.B.2.i,11-1021.00
o_jobSkills/80490098-8cea-4f9b-94fc-255224e03b4d,,2.B.3.a,11-1021.00
o_jobSkills/5b2df406-c5a3-4d51-8a91-ba4b203f8eab,,2.B.3.b,11-1021.00
o_jobSkills/8773265b-b9d8-494d-bb99-11ae98e31907,,2.B.3.c,11-1021.00
o_jobSkills/d3405ac1-68d5-44f2-8cb2-a0ccb7316890,,2.B.3.d,11-1021.00
o_jobSkills/5f425989-258c-4454-97df-dfe629631a83,,2.B.3.e,11-1021.00
o_jobSkills/682f7b18-0d60-49ff-941e-95837b381daf,,2.B.3.g,11-1021.00
o_jobSkills/4e53e001-7d2b-4ece-914c-5ff83b4f8f48,,2.B.3.h,11-1021.00
o_jobSkills/058b6b32-2cc1-49b0-a43f-d0ebb4ae41d6,,2.B.3.j,11-1021.00
o_jobSkills/fea7d249-d67e-4c43-894a-437e12e8ee4a,,2.B.3.k,11-1021.00
o_jobSkills/5b8cc1d9-7cc7-436a-aded-8cd48ab56017,,2.B.3.l,11-1021.00
o_jobSkills/0858a728-760e-4e78-9326-9f41d81db307,,2.B.3.m,11-1021.00
o_jobSkills/8a6d0e28-b36c-4b6b-ade1-0e90b70857a4,,2.B.4.e,11-1021.00
o_jobSkills/0c045b44-4fc9-4055-98fd-bbd342b83a53,,2.B.4.g,11-1021.00
o_jobSkills/0aab2599-6119-4b69-82e9-f1e664952cf6,,2.B.4.h,11-1021.00
o_jobSkills/bb8a172d-ff05-478a-acf1-b802246664b2,,2.B.5.a,11-1021.00
o_jobSkills/8a137e70-4f87-415c-9a07-32a69c74af51,,2.B.5.b,11-1021.00
o_jobSkills/a1a27ec3-88b3-456a-9fce-3cf3682eebb4,,2.B.5.c,11-1021.00
o_jobSkills/35f90aca-8ea2-40ae-b1c4-8fe7ee1c98b5,,2.B.5.d,11-1021.00
o_jobSkills/73b0bb61-a424-4238-84b8-77b93f774176,,2.A.1.a,11-2011.00
o_jobSkills/eafeb00f-8559-45ac-80c8-09386de57247,,2.A.1.b,11-2011.00
o_jobSkills/da94fd80-52c7-4550-8c45-48b01cda851f,,2.A.1.c,11-2011.00
o_jobSkills/51cb9a6b-7da4-4c84-b206-bc734cf6a322,,2.A.1.d,11-2011.00
o_jobSkills/aa64d3c4-e57e-4bfc-8675-a3401cb13021,,2.A.1.e,11-2011.00
o_jobSkills/fa7a540a-311d-4212-bb59-efcb37de2b07,,2.A.1.f,11-2011.00
o_jobSkills/8b4d7dcb-ae37-4662-96b3-78e9330aea3e,,2.A.2.a,11-2011.00
o_jobSkills/4060ad81-ec4a-4756-b1ce-3847fe9057ad,,2.A.2.b,11-2011.00
o_jobSkills/c7658c0d-06f5-4ace-b36d-1db8132f36c4,,2.A.2.c,11-2011.00
o_jobSkills/75d576af-6eff-480e-b5d5-0e93686c4cfa,,2.A.2.d,11-2011.00
o_jobSkills/a3be737d-ec90-45f2-aaf8-e7c1dd94ab20,,2.B.1.a,11-2011.00
o_jobSkills/0582d134-e528-4834-a880-ab7e5a35ba1e,,2.B.1.b,11-2011.00
o_jobSkills/51baccab-8c64-4fcc-b2bb-8f1f5702148d,,2.B.1.c,11-2011.00
o_jobSkills/aeb78d19-66f5-4548-8945-3717feff626a,,2.B.1.d,11-2011.00
o_jobSkills/cbdda831-e88c-4f1e-876b-c61a366769a4,,2.B.1.e,11-2011.00
o_jobSkills/3b83f5af-a2b5-4719-af5c-213baacaec24,,2.B.1.f,11-2011.00
o_jobSkills/dbb08913-b74e-43cd-846c-f616bd93b618,,2.B.2.i,11-2011.00
o_jobSkills/1d71b4c6-8ea9-4b2d-af40-7e2e013083e3,,2.B.3.a,11-2011.00
o_jobSkills/6f593146-611a-4356-bd1e-7621a6888eb8,,2.B.3.b,11-2011.00
o_jobSkills/07163b07-353c-49d9-8e1c-906e6c1612fd,,2.B.3.c,11-2011.00
o_jobSkills/e66b6684-c8e5-4610-95f7-4e26e5cd9634,,2.B.3.d,11-2011.00
o_jobSkills/87b28a46-655a-4369-a233-995b8c219ff1,,2.B.3.e,11-2011.00
o_jobSkills/560780ee-51dd-4a9c-b65f-5c349a845aa8,,2.B.3.g,11-2011.00
o_jobSkills/562f31b5-cf96-44ae-9b68-85c8d167e174,,2.B.3.h,11-2011.00
o_jobSkills/f54f3484-9dee-4b02-a99c-25bd776112c4,,2.B.3.j,11-2011.00
o_jobSkills/38758055-ad7b-4ecc-8533-720a60ab67fe,,2.B.3.k,11-2011.00
o_jobSkills/b01cc149-91cb-4225-ba35-3c52fcc8e8c7,,2.B.3.l,11-2011.00
o_jobSkills/db6466cc-5f8e-40b4-8aef-e0c570fa8846,,2.B.3.m,11-2011.00
o_jobSkills/a8951f7f-e9da-4356-ac10-98c13233138b,,2.B.4.e,11-2011.00
o_jobSkills/38911d8d-84f2-4453-adce-7a79226357df,,2.B.4.g,11-2011.00
o_jobSkills/684a95ce-8386-4898-8cb8-94498242c3d1,,2.B.4.h,11-2011.00
o_jobSkills/d38bf060-4c23-4082-b641-f24eda34416f,,2.B.5.a,11-2011.00
o_jobSkills/2f270892-3954-4c70-aa94-eb99aa3b63af,,2.B.5.b,11-2011.00
o_jobSkills/c15c32df-e3dc-4107-a0dd-7826473cb3c5,,2.B.5.c,11-2011.00
o_jobSkills/fbb207f9-16d1-4054-95e3-21974e2abba8,,2.B.5.d,11-2011.00
o_jobSkills/8a943232-ed33-49c1-a0dd-ef815c36064f,,2.A.1.a,11-2021.00
o_jobSkills/bd0b5d8f-3241-40c8-9491-36cfd3ffdeb7,,2.A.1.b,11-2021.00
o_jobSkills/2d3d5683-6fd0-40dd-b03b-b35f7f93ac7a,,2.A.1.c,11-2021.00
o_jobSkills/09984f2d-62af-4a28-93b8-2b340f885af1,,2.A.1.d,11-2021.00
o_jobSkills/d9d7ebaf-401b-456b-b8b2-78f0586da4ec,,2.A.1.e,11-2021.00
o_jobSkills/438332fb-0a81-4698-b64f-f1e50465bffd,,2.A.1.f,11-2021.00
o_jobSkills/119a7cb1-fdfc-4d0d-a140-a3aee4af5c95,,2.A.2.a,11-2021.00
o_jobSkills/172df26a-eb8e-4471-926a-bee6b08eaad2,,2.A.2.b,11-2021.00
o_jobSkills/6dcec52f-aba3-46af-bd52-b8c1d6032773,,2.A.2.c,11-2021.00
o_jobSkills/3d15298f-658a-4f41-b12c-858661e60080,,2.A.2.d,11-2021.00
o_jobSkills/2b73319b-dadf-4a74-95e1-6431222543f8,,2.B.1.a,11-2021.00
o_jobSkills/b583bf2f-dc19-4996-8ffc-b30ebc1ab41a,,2.B.1.b,11-2021.00
o_jobSkills/448d0a29-1ad3-4ff3-ab50-9231b8f3f095,,2.B.1.c,11-2021.00
o_jobSkills/9280adaf-a09b-4d07-b9d5-7a9796649e54,,2.B.1.d,11-2021.00
o_jobSkills/1d47ba51-ed93-4652-bfa0-d866975f68c2,,2.B.1.e,11-2021.00
o_jobSkills/b8ea926d-e192-43d9-b973-6d6491175599,,2.B.1.f,11-2021.00
o_jobSkills/15db8877-5cc8-49a9-be10-394c5f2a34a0,,2.B.2.i,11-2021.00
o_jobSkills/98ecabbd-642f-4a97-98c7-36dd34752156,,2.B.3.a,11-2021.00
o_jobSkills/15c5ca8b-4d8f-4c65-8b6e-59d64aaa8dee,,2.B.3.b,11-2021.00
o_jobSkills/5e16f403-3c0c-4990-a40f-e58aa951a9cb,,2.B.3.c,11-2021.00
o_jobSkills/53eff04a-2385-411e-be04-2a24dc970903,,2.B.3.d,11-2021.00
o_jobSkills/5ae3efec-36b0-4a3f-afe9-1f4eb3276e84,,2.B.3.e,11-2021.00
o_jobSkills/61cfe7e0-991b-4f2e-a657-bbfe18d9c28b,,2.B.3.g,11-2021.00
o_jobSkills/5e268314-86f0-4bf0-832e-d96ead0bd8dd,,2.B.3.h,11-2021.00
o_jobSkills/b08b9766-9c27-4b08-986c-62dac699924b,,2.B.3.j,11-2021.00
o_jobSkills/e7847179-1795-4be5-8afd-a72593e344a1,,2.B.3.k,11-2021.00
o_jobSkills/7c8f438f-51c6-48ab-8a4a-6c09e2607730,,2.B.3.l,11-2021.00
o_jobSkills/65fbea83-2269-4bb6-9a14-fa32ab9f8e11,,2.B.3.m,11-2021.00
o_jobSkills/17bffd72-85a2-4e11-b9b2-20bbcfbac750,,2.B.4.e,11-2021.00
o_jobSkills/8f6ca940-b697-4e6f-9a7a-39e4442fe073,,2.B.4.g,11-2021.00
o_jobSkills/74ae29ef-9a78-42e7-8ea6-531d26ff4f10,,2.B.4.h,11-2021.00
o_jobSkills/07fb1e9a-211d-4b72-b459-ab1aa12d5c36,,2.B.5.a,11-2021.00
o_jobSkills/19b9ede1-ee1c-43c4-bac3-f0f0b1a352b3,,2.B.5.b,11-2021.00
o_jobSkills/52be6560-b6be-4ac0-bcee-22813994cfad,,2.B.5.c,11-2021.00
o_jobSkills/961cc762-fedc-451f-849b-199d2cac6498,,2.B.5.d,11-2021.00
o_jobSkills/78ca54b4-cca6-4bb7-a0c9-84eaa0cca721,,2.A.1.a,11-2022.00
o_jobSkills/f327af2c-01d5-4435-891b-a5a40c011ffa,,2.A.1.b,11-2022.00
o_jobSkills/a9862a7a-5eae-481c-a188-97edd4386ac6,,2.A.1.c,11-2022.00
o_jobSkills/7fc78196-7678-4319-b9c9-d177044fdabd,,2.A.1.d,11-2022.00
o_jobSkills/8c1a381e-58f0-4cbc-83af-aeb1a5bfcebd,,2.A.1.e,11-2022.00
o_jobSkills/4530cfc4-87d4-4721-8fda-4f874fbebb1b,,2.A.1.f,11-2022.00
o_jobSkills/10953572-2f9d-4588-bb92-9562ba97f427,,2.A.2.a,11-2022.00
o_jobSkills/b1bb7390-da6c-450e-a4f8-48c448b221ed,,2.A.2.b,11-2022.00
o_jobSkills/0fb09e6f-ff00-484a-a3b8-8112c9a94c9b,,2.A.2.c,11-2022.00
o_jobSkills/6440f1ec-5be6-44df-9ea8-2854fa87baa2,,2.A.2.d,11-2022.00
o_jobSkills/0daf2702-5fa1-4407-be73-91c16fa1f835,,2.B.1.a,11-2022.00
o_jobSkills/1e96e3d2-8937-4def-9d81-d0c877b82f94,,2.B.1.b,11-2022.00
o_jobSkills/91c8e884-ea54-4f60-bad2-b3f87f3f7853,,2.B.1.c,11-2022.00
o_jobSkills/b443f827-ef8d-4d54-b5a5-1e4c9cde12f8,,2.B.1.d,11-2022.00
o_jobSkills/061d02ea-aeb4-4559-a635-bda8c42febf6,,2.B.1.e,11-2022.00
o_jobSkills/7a5a74c8-f45c-449f-8003-872da53e07c5,,2.B.1.f,11-2022.00
